ons_id,year,party,votes
E14000530,2010,Ch P,231
E14000530,2010,Con,21203
E14000530,2010,EIP,803
E14000530,2010,LD,15617
E14000530,2010,Lab,5489
E14000530,2010,UKIP,2041
E14000531,2010,Ch P,394
E14000531,2010,Con,22913
E14000531,2010,Grn,847
E14000531,2010,LD,6833
E14000531,2010,Lab,7647
E14000532,2010,Con,24176
E14000532,2010,LD,12581
E14000532,2010,Lab,11073
E14000532,2010,UKIP,1563
E14000533,2010,BNP,3195
E14000533,2010,Con,17746
E14000533,2010,LD,6636
E14000533,2010,Lab,17210
E14000533,2010,MRLP,265
E14000533,2010,UKIP,906
E14000534,2010,Con,32333
E14000534,2010,LD,15642
E14000534,2010,Lab,4835
E14000534,2010,UKIP,3172
E14000535,2010,BNP,2781
E14000535,2010,Con,10698
E14000535,2010,ED,1102
E14000535,2010,Ind1,396
E14000535,2010,LD,16047
E14000535,2010,Lab,16239
E14000535,2010,UKIP,933
E14000536,2010,Con,29878
E14000536,2010,Grn,1014
E14000536,2010,LD,12581
E14000536,2010,Lab,9204
E14000536,2010,UKIP,2508
E14000537,2010,BNP,2929
E14000537,2010,Con,9510
E14000537,2010,LD,5703
E14000537,2010,Lab,18604
E14000537,2010,UKIP,1686
E14000538,2010,Con,27736
E14000538,2010,LD,15118
E14000538,2010,Lab,6695
E14000538,2010,UKIP,3613
E14000539,2010,Con,29703
E14000539,2010,Grn,959
E14000539,2010,Ind1,524
E14000539,2010,LD,11476
E14000539,2010,Lab,10773
E14000539,2010,UKIP,2806
E14000540,2010,BNP,6620
E14000540,2010,Ch P,482
E14000540,2010,Con,8073
E14000540,2010,Grn,317
E14000540,2010,Ind1,77
E14000540,2010,LD,3719
E14000540,2010,Lab,24628
E14000540,2010,MRLP,82
E14000540,2010,Rest,45
E14000540,2010,UKIP,1300
E14000541,2010,BNP,3307
E14000541,2010,Con,6388
E14000541,2010,Ind1,732
E14000541,2010,Ind2,610
E14000541,2010,LD,6394
E14000541,2010,Lab,17487
E14000541,2010,Soc Lab,356
E14000541,2010,UKIP,1727
E14000542,2010,BNP,3301
E14000542,2010,Con,6329
E14000542,2010,Ind1,712
E14000542,2010,Ind2,684
E14000542,2010,LD,6969
E14000542,2010,Lab,18059
E14000542,2010,Soc Lab,601
E14000542,2010,UKIP,1731
E14000543,2010,BNP,840
E14000543,2010,Con,16018
E14000543,2010,Grn,530
E14000543,2010,Ind1,245
E14000543,2010,LD,4424
E14000543,2010,Lab,21226
E14000543,2010,UKIP,841
E14000544,2010,BNP,1934
E14000544,2010,Con,21922
E14000544,2010,LD,6538
E14000544,2010,Lab,9584
E14000544,2010,UKIP,1591
E14000545,2010,BCP,247
E14000545,2010,Con,25590
E14000545,2010,LD,12414
E14000545,2010,Lab,10327
E14000545,2010,UKIP,2076
E14000546,2010,Con,16803
E14000546,2010,Ind1,407
E14000546,2010,LD,5570
E14000546,2010,Lab,25018
E14000546,2010,UKIP,1779
E14000547,2010,Ch P,250
E14000547,2010,Con,14768
E14000547,2010,Grn,1120
E14000547,2010,Ind1,56
E14000547,2010,LD,26651
E14000547,2010,Lab,3251
E14000547,2010,ND,69
E14000547,2010,South,31
E14000547,2010,UKIP,890
E14000548,2010,BNP,3685
E14000548,2010,Con,17159
E14000548,2010,Grn,605
E14000548,2010,LD,8095
E14000548,2010,Lab,21565
E14000549,2010,Con,23103
E14000549,2010,Grn,559
E14000549,2010,Ind1,155
E14000549,2010,LD,7176
E14000549,2010,Lab,17126
E14000549,2010,PPBF,168
E14000549,2010,UKIP,505
E14000550,2010,Con,32053
