id,poll_date,constituency_id,is_byelection,electorate,turnout,turnout_pc,turnout_pc_change,majority,majority_pc,majority_pc_change,winning_party,is_notional,is_gain,sitting_party,swing,swing_to,swing_from,winning_votes,winning_candidate_name,winning_candidate_id
12731040000001,2010-05-06,W07000049,false,50789,30958,60.95,2.02,11039,35.66,2.02,Lab,false,false,Lab,5.32,LD,Lab,16073,Hywel Francis,
11152512000001,2005-05-05,W07000049,false,,30104,58.94,,13937,46.3,,Lab,false,true,,,,,,,
12731040000002,2010-05-06,W07000058,false,44593,29966,67.2,5.22,3398,11.34,5.22,C,false,true,Lab,7.63,C,Lab,10734,Guto Bebb,
11152512000002,2005-05-05,W07000058,false,,27258,61.98,,1070,3.93,,Lab,true,true,,,,,8994,,
12731040000003,2010-05-06,S14000001,false,64808,37701,58.17,2.43,8361,22.18,2.43,Lab,false,false,Lab,1,Lab,SNP,16746,Frank Doran,
11152512000002,2005-05-05,W07000058,false,,36634,55.75,,6795,18.55,,Lab,false,true,,,,,,,
12731040000004,2010-05-06,S14000002,false,64031,43034,67.21,5.1,3506,8.15,5.1,Lab,false,false,Lab,2.45,Lab,LD,15722,Anne Begg,
11152512000003,2005-05-05,S14000001,false,,41621,62.11,,1348,3.24,,Lab,false,true,,,,,,,
12731040000005,2010-05-06,S14000058,false,66110,45195,68.36,4.83,3684,8.15,4.83,LD,false,false,LD,4.89,C,LD,17362,Robert Smith,
11152512000004,2005-05-05,S14000002,false,,41648,63.54,,7471,17.94,,LD,false,true,,,,,,,
12731040000006,2010-05-06,S14000003,false,62364,35849,57.48,3.96,12408,34.61,3.96,Lab,false,false,Lab,3.93,SNP,Lab,20849,Pamela Nash,
11152512000005,2005-05-05,S14000058,false,,33158,53.52,,14084,42.48,,Lab,false,true,,,,,,,
12731040000007,2010-05-06,E14000530,false,71469,45384,63.5,-0.11,5586,12.31,-0.11,C,false,false,C,1.41,LD,C,21203,Gerald Howarth,
11152512000007,2005-05-05,E14000530,false,,41962,63.61,,6345,15.12,,C,true,true,,,,,18474,,
12731040000008,2010-05-06,E14000531,false,59355,38634,65.09,1.56,15266,39.51,1.56,C,false,false,C,12.01,C,Lab,22913,Richard Shepherd,
11152512000008,2005-05-05,E14000531,false,,37016,63.53,,5732,15.49,,C,true,true,,,,,17845,,
12731040000009,2010-05-06,E14000532,false,71254,49393,69.32,1.54,11595,23.47,1.54,C,false,false,C,0.83,LD,C,24176,Graham Brady,
11152512000009,2005-05-05,E14000532,false,,43357,67.78,,7618,17.57,,C,true,true,,,,,20384,,
127310400000010,2010-05-06,W07000043,false,60931,39923,65.52,5.3,2919,7.31,5.3,Lab,false,false,Lab,8.15,C,Lab,15804,Mark Tami,
11152512000009,2005-05-05,E14000532,false,,35496,60.22,,8378,23.6,,Lab,false,true,,,,,,,
127310400000011,2010-05-06,E14000533,false,70171,45958,65.49,1.46,536,1.17,1.46,C,false,true,Lab,6.85,C,Lab,17746,Nigel Mills,
111525120000011,2005-05-05,E14000533,false,,43973,64.04,,5512,12.53,,Lab,true,true,,,,,20427,,
127310400000012,2010-05-06,S14000004,false,62863,37960,60.39,-0.07,3282,8.65,-0.07,SNP,false,false,SNP,2.22,SNP,C,15020,Mike Weir,
111525120000011,2005-05-05,E14000533,false,,38145,60.46,,1601,4.2,,SNP,false,true,,,,,,,
127310400000013,2010-05-06,N06000005,false,60204,30502,50.66,-4.12,6770,22.2,-4.12,DUP,false,false,DUP,,,,13993,Sammy Wilson,
111525120000013,2005-05-05,N06000005,false,,32145,54.79,,6996,21.76,,DUP,true,true,,,,,15074,,
127310400000014,2010-05-06,N06000012,false,73338,42397,57.81,-4.3,12558,29.62,-4.3,DUP,false,false,DUP,,,,19672,Ian Paisley Junior,
111525120000014,2005-05-05,N06000012,false,,44225,62.11,,18486,41.8,,DUP,true,true,,,,,25111,,
127310400000015,2010-05-06,N06000014,false,63054,34009,53.94,-3.52,1183,3.48,-3.52,DUP,false,false,DUP,,,,11536,William McCrea,
111525120000015,2005-05-05,N06000014,false,,35191,57.45,,3778,10.74,,DUP,true,true,,,,,14182,,
127310400000016,2010-05-06,W07000057,false,41198,26078,63.3,5.06,1455,5.58,5.06,PC,false,true,Lab,3.7,PC,Lab,9383,Hywel Williams,
111525120000016,2005-05-05,W07000057,false,,25042,58.24,,456,1.82,,Lab,true,true,,,,,8484,,
127310400000017,2010-05-06,S14000005,false,67165,45207,67.31,3.1,3431,7.59,3.1,LD,false,false,LD,2.72,C,LD,14292,Alan Reid,
111525120000015,2005-05-05,N06000014,false,,43229,64.21,,5636,13.04,,LD,false,true,,,,,,,
127310400000018,2010-05-06,E14000534,false,77564,55982,72.18,1.39,16691,29.81,1.39,C,false,false,C,3,C,LD,32333,Nick Herbert,
111525120000018,2005-05-05,E14000534,false,,51618,70.79,,12291,23.81,,C,true,true,,,,,25968,,
127310400000019,2010-05-06,E14000535,false,77379,48196,62.29,5.21,192,0.4,5.21,Lab,false,false,Lab,17.23,LD,Lab,16239,Gloria De Piero,
111525120000019,2005-05-05,E14000535,false,,42711,57.07,,10370,24.28,,Lab,true,true,,,,,20801,,
127310400000020,2010-05-06,E14000536,false,81269,55185,67.9,2.51,17297,31.34,2.51,C,false,false,C,2.25,LD,C,29878,Damian Green,
111525120000020,2005-05-05,E14000536,false,,49035,65.4,,12268,25.02,,C,true,true,,,,,25225,,
127310400000021,2010-05-06,E14000537,false,67564,38432,56.88,5.35,9094,23.66,5.35,Lab,false,false,Lab,7.34,C,Lab,18604,David Heyes,
111525120000021,2005-05-05,E14000537,false,,34432,51.53,,13199,38.33,,Lab,true,true,,,,,20136,,
127310400000022,2010-05-06,E14000538,false,77934,53162,68.21,5.79,12618,23.73,5.79,C,false,false,C,2.12,C,LD,27736,David Lidington,
111525120000022,2005-05-05,E14000538,false,,47783,62.43,,9314,19.49,,C,true,true,,,,,23103,,
127310400000023,2010-05-06,S14000006,false,73320,45893,62.59,1.26,9911,21.6,1.26,Lab,false,false,Lab,0.3,C,Lab,21632,Sandra Osborne,
111525120000021,2005-05-05,E14000537,false,,45048,61.33,,9997,22.19,,Lab,false,true,,,,,,,
127310400000024,2010-05-06,S14000010,false,68352,43915,64.25,1.79,12007,27.34,1.79,Lab,false,false,Lab,1.51,Lab,C,20950,Brian Donohoe,
111525120000022,2005-05-05,E14000538,false,,42871,62.46,,10423,24.31,,Lab,false,true,,,,,,,
