id	lat	lon
W07000049	51.61793531	-3.715112446
W07000058	53.12709697	-3.843677884
S14000001	57.16677592	-2.181692693
S14000002	57.11957406	-2.200852063
S14000058	57.04189708	-2.859712441
S14000003	55.85027005	-3.870141939
E14000530	51.28433873	-0.775572284
E14000531	52.61419041	-1.927715953
E14000532	53.39289161	-2.363739348
W07000043	53.16240382	-3.040395101
E14000533	53.03955421	-1.398169084
S14000004	56.74686339	-2.919629159
N06000005	54.84475896	-5.895284201
N06000012	55.01335013	-6.289880275
N06000014	54.7016501	-6.20223156
W07000057	53.12909238	-4.142325782
S14000005	56.12036178	-5.479079714
E14000534	50.9264317	-0.451973272
E14000535	53.09255508	-1.269973261
E14000536	51.12732717	0.792903245
E14000537	53.49701691	-2.114808048
E14000538	51.73116789	-0.796013463
S14000006	55.27451915	-4.575719653
S14000010	55.55520113	-4.565692094
S14000048	55.65120664	-5.009093273
E14000539	51.98993685	-1.283504549
S14000007	57.54881264	-2.268495681
E14000540	51.53923399	0.116804913
E14000541	53.57542625	-1.487346331
E14000542	53.54152958	-1.406092994
E14000543	54.22692486	-3.153066684
E14000544	51.60263573	0.437677078
E14000933	51.53340823	0.433176311
E14000545	51.26523286	-1.064537235
E14000546	53.35437299	-0.987531087
E14000547	51.37912408	-2.366339527
E14000548	53.72246537	-1.682738352
E14000549	51.46540467	-0.159386297
E14000550	51.56121215	-0.615722722
E14000551	51.38039765	0.008167336
E14000552	52.13162918	-0.463008063
E14000813	52.02868017	-0.483975953
E14000841	52.17180177	-0.394461667
E14000949	51.8952775	-0.576562487
N06000001	54.59421613	-5.862761584
N06000002	54.63442477	-5.950727776
N06000003	54.56359262	-5.93677039
N06000004	54.58719969	-6.011556989
E14000553	51.49613243	-0.07228573
E14000554	55.4280767	-1.934950893
S14000008	55.56391706	-2.670110257
E14000555	51.52554354	-0.04627856
E14000556	53.80696236	-0.247282142
E14000557	50.94193725	0.430877238
E14000558	51.46170615	0.164263291
E14000559	53.38594884	-3.046732001
E14000560	52.45231475	-1.963852599
E14000561	52.52400071	-1.835552497
E14000562	52.44128755	-1.866873043
E14000563	52.487881	-1.811404998
E14000564	52.48771547	-1.896304353
E14000565	52.40690488	-1.966351967
E14000566	52.52460865	-1.910626943
E14000567	52.42393514	-1.908068882
E14000568	52.46122934	-1.806232468
E14000569	54.59921017	-1.974235911
E14000570	53.74283772	-2.495820798
E14000571	53.51432641	-2.233243839
E14000572	53.85943042	-3.026314223
E14000573	53.79782278	-3.022542693
W07000072	51.76555653	-3.19240914
E14000574	54.93204257	-1.710905028
E14000575	55.09026586	-1.551802389
E14000576	50.80283516	-0.637607958
E14000577	53.20141463	-1.307649741
E14000578	53.60249564	-2.413635536
E14000579	53.55148972	-2.417459423
E14000580	53.5764817	-2.518871187
E14000581	53.46892913	-2.993813189
E14000582	53.03387941	0.044869089
E14000583	52.61361921	-1.394331877
E14000584	50.74224375	-1.83474141
E14000585	50.74724801	-1.901690733
E14000586	51.377257	-0.797525809
E14000587	53.81440675	-1.729847033
E14000588	53.76342292	-1.759955645
E14000589	53.79918864	-1.813437064
E14000590	51.97517491	0.579634967
W07000068	52.10365627	-3.39941717
E14000591	51.55081999	-0.25126311
E14000592	51.56742822	-0.29229715
E14000593	51.48000736	-0.318779715
E14000594	51.67598673	0.267434691
W07000073	51.50495297	-3.635386695
E14000595	51.13182901	-3.329621437
E14000596	53.6111917	-0.726212586
E14000597	50.81907688	-0.05624088
E14000598	50.85738368	-0.13910337
E14000599	51.45424454	-2.537628069
E14000600	51.49697342	-2.6348436
E14000601	51.4223106	-2.594534206
E14000602	51.4610929	-2.588460925
E14000603	52.74659662	1.181754376
E14000604	51.41003147	0.058217172
E14000605	52.36103115	-2.014773449
E14000606	51.71980239	-0.066019298
E14000607	52.96363796	-1.251986219
E14000608	51.89258804	-0.892294903
E14000609	53.77804681	-2.219437501
E14000610	52.89773502	-1.808417518
E14000611	53.61603392	-2.317183273
E14000612	53.55549994	-2.304033785
E14000613	52.24713425	0.896111633
W07000076	51.60691125	-3.216006327
S14000009	58.21970713	-4.245156687
E14000614	53.71648158	-1.990404513
E14000615	51.46905956	-0.069362401
E14000616	50.18736968	-5.237070173
E14000617	52.20044551	0.132750898
E14000842	52.53257055	0.104818325
E14000855	52.46399749	-0.243903794
E14000934	52.16311527	0.013518243
E14000937	52.26246259	0.291299446
E14000618	52.71201266	-1.979018023
E14000619	51.26375443	1.092382456
W07000050	51.50320828	-3.163087192
W07000051	51.53076163	-3.19086165
W07000080	51.46978979	-3.153531831
W07000079	51.50463824	-3.268092179
E14000620	54.86723477	-2.950200814
W07000067	51.94701336	-4.032424663
W07000066	51.80395762	-4.623619486
E14000621	51.36039154	-0.153360535
E14000622	51.54750202	0.582055327
W07000064	52.25281832	-4.070269662
E14000625	52.69728928	-1.133129341
E14000626	51.32826543	0.48602121
E14000627	53.37069601	-2.18381239
E14000628	51.72320483	0.484243011
E14000629	51.47743404	-0.189326877
E14000630	51.88967129	-2.071290211
E14000631	51.67868224	-0.625314674
E14000640	53.18981138	-2.907460111
E14000632	53.2485625	-1.415723976
E14000633	50.9339429	-0.771676676
E14000634	51.6168498	0.005487588
E14000635	51.38699475	-2.179552592
E14000636	51.63735154	-0.18960201
E14000637	53.66191696	-2.610438841
E14000638	50.79072886	-1.830212379
E14000639	51.50664202	-0.139417935
E14000642	51.83092657	1.154258641
E14000643	53.59386921	-0.246790127
W07000062	52.96314431	-3.136482038
W07000059	53.1170499	-3.489300797
S14000011	55.88045814	-4.064846025
E14000644	51.88754612	0.901822743
E14000645	53.59117598	-1.855698899
E14000646	53.16107575	-2.303268455
E14000647	54.48483883	-3.317724971
E14000648	52.47314373	-0.54389966
E14000837	50.62426801	-4.603723247
E14000938	50.43975417	-4.45826038
E14000991	51.80538955	-1.917266032
E14000649	52.42631691	-1.466577138
E14000650	52.43094983	-1.553934572
E14000651	52.3907393	-1.52011025
E14000652	51.1244198	-0.182142998
E14000653	53.06172627	-2.428531368
E14000654	51.36588058	-0.048054231
E14000655	51.39784162	-0.100507181
E14000656	51.32935676	-0.101163674
S14000012	55.97468108	-4.092931667
W07000070	51.71660214	-3.450066499
E14000657	51.53253537	0.18575097
E14000658	54.53146826	-1.555375291
E14000659	51.41948645	0.26490403
E14000660	52.30675036	-1.031041238
W07000042	53.22968378	-3.22349225
E14000661	53.45255821	-2.127112618
E14000662	52.91907703	-1.491525371
E14000663	52.89171092	-1.45868166
E14000664	53.11397284	-1.672280242
E14000814	52.96384429	-1.42557183
E14000843	53.24563886	-1.456907983
E14000935	52.82992741	-1.558043917
E14000665	51.34645935	-1.776447883
E14000623	50.73884568	-3.775021821
E14000678	50.71903179	-3.346955585
E14000838	51.06786667	-3.907942487
E14000950	50.38542505	-3.967878986
E14001000	50.7603053	-4.178338722
E14000666	53.62534806	-1.66528791
E14000667	53.5031381	-1.052348538
E14000668	53.53562322	-1.084999791
E14000669	53.5852686	-1.137526998
E14000815	50.74875163	-2.091143644
E14000839	50.90189446	-2.161914686
E14000936	50.6587746	-2.198997741
E14001031	50.79016673	-2.586551876
E14000670	51.17983709	1.288364798
N06000013	54.63972602	-5.67733606
N06000015	54.25331206	-5.983933129
E14000671	52.52100517	-2.104836759
E14000672	52.49079833	-2.135127469
E14000673	51.44192228	-0.09103966
S14000013	54.99412907	-4.283841577
S14000014	55.37302951	-3.456473431
S14000018	55.93529059	-4.272967791
S14000059	55.98579891	-4.514985697
S14000015	56.51303177	-2.848347009
S14000016	56.50579835	-3.062142492
S14000017	56.08735836	-3.523209484
E14000641	54.76367427	-1.56434994
E14000840	54.85938365	-1.629576891
E14000856	54.77203522	-1.949462773
W07000061	52.84635226	-3.989482746
E14000674	51.51433461	-0.282182752
E14000675	51.53627827	-0.350541729
E14000676	51.5066233	-0.360294696
E14000677	54.77461355	-1.358547847
E14000679	51.52654575	0.057808194
S14000019	55.66455814	-4.07335522
S14000020	55.93883565	-2.720774698
E14000684	50.78369844	0.259554028
E14000685	50.93398014	-1.318224719
E14000686	53.10705662	-2.654948293
S14000022	55.94324484	-3.140307138
S14000023	55.96222604	-3.211411944
S14000024	55.91196567	-3.172225988
S14000025	55.8838103	-3.314984642
S14000026	55.94918942	-3.352682102
E14000687	51.62835714	-0.051383576
E14000688	53.27138524	-2.923053443
E14000689	53.83481381	-1.400756797
E14000690	51.45498904	0.057266518
E14000691	51.66835119	-0.079644331
E14000692	51.64095732	-0.124010587
E14000693	51.68036824	0.064726431
E14000694	51.33030552	-0.264912856
E14000695	52.92033426	-1.30672861
E14000696	51.49029674	0.13195046
E14000697	51.35572612	-0.379481376
E14000698	50.7249646	-3.519044451
S14000028	56.01295304	-3.8489033
E14000699	50.85848436	-1.221659917
E14000700	51.26101938	0.723774869
E14000701	51.45722697	-0.404461753
N06000007	54.3734936	-7.473685819
S14000049	56.30341444	-2.972327107
E14000702	51.530653	-2.573790163
E14000703	51.5867111	-0.188096059
E14000704	51.06452596	0.985399218
E14000705	51.84472741	-2.463743835
N06000008	54.94730218	-7.210124246
E14000706	53.78831489	-2.902548318
E14000707	53.38806551	-0.467607179
E14000708	53.36510737	-2.845053637
E14000709	54.94510091	-1.596956282
E14000710	52.98418864	-1.086265853
E14000711	51.36598913	0.58726652
S14000029	55.84832406	-4.257115403
S14000030	55.85538204	-4.136678302
S14000031	55.89651699	-4.286247537
S14000032	55.88279183	-4.214542707
S14000033	55.89231659	-4.347292755
S14000034	55.81429919	-4.27005901
S14000035	55.83316835	-4.343991162
S14000036	56.18480077	-3.157935808
E14000712	51.84568068	-2.24042954
S14000037	57.34385494	-2.506897281
E14000713	50.81289428	-1.172468938
W07000046	51.64471767	-4.07285374
E14000714	52.81637791	-0.479085071
E14000715	51.40213493	0.396036509
E14000716	53.55764595	-0.098815059
E14000717	52.6429456	1.659120968
E14000718	51.48445633	0.034669578
E14000719	51.1878399	-0.554925571
E14000720	51.56166322	-0.070518568
E14000721	51.54130794	-0.05476797
E14000722	52.46107996	-2.048788178
E14000723	53.73819	-1.871251445
E14000724	53.77454209	-0.699777335
E14000725	53.35307058	-2.741491993
E14000726	51.50448713	-0.229020237
E14000680	51.09004542	-0.950141701
E14000844	51.26996679	-0.991722636
E14000857	51.26287536	-1.372616311
E14000727	51.54588974	-0.191276461
E14000728	52.52046878	-1.014055698
E14000729	51.76564251	0.116661868
E14000730	54.0288263	-1.475392208
E14000731	51.61034296	-0.316755627
E14000732	51.57610545	-0.353238281
E14000733	54.67007181	-1.260951604
E14000734	51.90054035	0.981280877
E14000735	50.92014147	0.661456985
E14000736	50.84566921	-0.983869913
E14000737	51.49323206	-0.441628284
E14000738	53.3982971	-2.069876522
E14000739	51.78529559	-0.478687308
E14000740	53.63569014	-1.373125488
E14000741	51.60926466	-0.244236268
E14000742	51.66911903	-1.075448103
E14000743	51.9752085	-2.809679881
E14000847	52.16630728	-2.710293752
E14000744	51.81428103	0.042714864
E14000845	51.93330212	-0.055693165
E14000951	51.72481477	-0.551537368
E14000745	51.67662066	-0.279427735
E14000746	55.05896846	-2.238684493
E14000747	53.59520461	-2.21413863
E14000748	53.37270375	-1.872479631
E14000749	51.86912751	-0.320358163
E14000750	51.54020264	-0.138938985
E14000751	51.56936131	0.253514191
E14000752	51.58873187	-0.130613314
E14000753	51.06100291	-0.294342771
E14000754	54.85074758	-1.448218512
E14000755	50.84957952	-0.198936528
E14000756	53.6519135	-1.757776389
E14000771	53.76104335	-0.289401781
E14000772	53.78194663	-0.350133685
E14000773	53.73627041	-0.395127204
E14000757	52.28251625	-0.230376322
E14000758	53.74841468	-2.377703672
E14000759	51.59550569	0.089144483
E14000760	51.56501006	0.090994907
S14000038	55.89908256	-4.740903908
S14000039	57.21188201	-4.155950744
E14000761	52.0492642	1.166204531
E14000762	50.67531651	-1.294438895
E14000763	51.5586832	-0.114302887
E14000764	51.5367984	-0.104831688
W07000077	51.65917921	-3.156308918
E14000765	54.95476218	-1.476264834
E14000766	53.87644393	-1.924635188
E14000767	52.26264171	-1.455716315
E14000768	51.50426976	-0.197828299
E14000769	52.42512193	-0.765046669
S14000040	55.58202368	-4.302615737
E14000770	51.3782553	-0.288934652
E14000774	51.45110416	-2.472501153
S14000041	56.10350162	-3.280058174
E14000775	53.44932784	-2.851174493
N06000009	54.47571855	-6.09562958
S14000042	55.73068282	-3.793423107
E14001033	53.57263681	-2.865644321
E14000776	53.99956314	-2.707932214
E14000777	53.77763624	-1.535365129
E14000778	53.80777305	-1.458263395
E14000779	53.84831083	-1.535627677
E14000780	53.8762663	-1.630034908
E14000781	53.80001241	-1.612962856
E14000782	52.64682929	-1.084769247
E14000783	52.61209459	-1.127834545
E14000784	52.6486092	-1.160289394
E14000858	52.75269102	-1.403425842
E14000940	52.51313623	-1.195338224
E14000785	53.49132809	-2.511468521
E14000786	50.86968306	0.044520148
E14000789	51.46665785	-0.028766875
E14000787	51.44206244	0.003412343
E14000788	51.42344368	-0.046691089
E14000790	51.56627703	0.015922789
E14000791	52.75728162	-1.830995819
E14000792	53.21518926	-0.561470099
S14000043	55.94029876	-3.677645578
E14000793	53.39831066	-2.960250188
E14000794	53.44474623	-2.947937718
E14000795	53.39901077	-2.915695627
E14000796	53.43480649	-2.898741349
S14000044	55.86104884	-3.534277996
W07000045	51.72827456	-4.17144861
N06000006	55.02339961	-6.820305889
E14000797	52.77040821	-1.175840971
E14000798	53.28513473	0.005145474
E14000799	52.47895438	-2.720130852
E14000800	51.90633378	-0.453768603
E14000801	51.86993507	-0.411022345
E14000802	53.26117157	-2.118417183
E14000803	51.49922101	-0.790546872
E14000804	51.16608074	0.517037647
E14000805	53.51562699	-2.631462372
E14000806	51.67657987	0.684593835
E14000807	53.48245604	-2.204904451
E14000808	53.45179394	-2.202273429
E14000809	53.42672356	-2.241870363
E14000810	53.17041116	-1.170702363
E14000811	50.95879285	-1.133339472
E14000812	52.41082646	-1.709901587
W07000071	51.73961753	-3.334950823
E14000819	54.55764771	-1.232614786
E14000820	54.53438538	-1.011414447
S14000045	55.83206153	-3.108424691
E14000821	52.10739348	-0.727367007
E14000822	52.01334515	-0.74566825
E14000823	51.40022649	-0.167673792
E14000824	51.22203534	-0.372133711
W07000054	51.77039313	-2.874685245
W07000063	52.62528319	-3.422107073
S14000046	57.47353243	-3.262920453
E14000825	54.12744597	-2.705726649
E14000826	53.7266241	-1.551175927
S14000047	55.78669427	-3.951802129
S14000027	57.95652386	-6.827958836
W07000069	51.72287453	-3.753924944
E14000827	50.8534619	-1.529783191
E14000828	50.8697599	-1.747605181
E14000829	53.12567115	-0.865393682
E14000830	51.45407364	-1.345833709
E14000834	53.03105849	-2.283395407
E14000831	54.98322775	-1.648517689
E14000832	54.98411064	-1.575362812
E14000833	55.02218157	-1.682429268
W07000055	51.58728032	-2.873613614
W07000056	51.57586944	-3.031075896
N06000011	54.25410956	-6.569961602
E14000835	50.54828463	-3.577639376
E14000816	52.64787059	0.932699304
E14000848	52.8430015	1.273914994
E14000859	52.82083546	0.553858926
E14000941	52.50373595	1.307509721
E14000952	52.553407	0.582451528
E14000836	53.69782708	-1.330807493
E14000861	52.26385383	-0.868049328
E14000862	52.24274688	-0.882884245
E14000942	52.11861914	-1.039594031
E14000863	52.65231496	1.311954935
E14000864	52.6226916	1.276492483
E14000865	52.96490412	-1.134081271
E14000866	52.98911419	-1.19581146
E14000867	52.93585596	-1.181937451
E14000868	52.5221562	-1.517383772
S14000050	56.31546429	-3.718200533
W07000074	51.57415606	-3.552917142
E14000869	51.43638663	0.121941277
E14000870	53.55628493	-2.019181803
E14000871	53.544106	-2.13644574
S14000051	59.81490199	-2.024724603
E14000872	51.34830395	0.080883241
E14000873	51.74474879	-1.222830392
E14000874	51.74445885	-1.29722164
S14000052	55.87899473	-4.507160666
S14000053	55.81440397	-4.572470861
E14000875	53.8650883	-2.183068279
E14000876	53.49699078	-1.621733376
E14000877	54.71978769	-2.676795199
S14000054	56.66061287	-3.865608054
E14000878	52.61650743	-0.158253889
E14000879	50.41154434	-4.131255536
E14000880	50.3834346	-4.131551535
W07000075	51.56728361	-3.353954828
E14000881	50.72591666	-1.957830633
E14000882	51.5085161	-0.023590196
E14000883	50.83292195	-1.061155267
E14000884	50.7949791	-1.075882147
W07000065	51.90764387	-4.899018629
E14000885	53.76860198	-2.69243719
E14000886	53.83765809	-1.688527484
E14000887	51.45146383	-0.224044101
E14000888	51.60585143	0.6727263
E14000889	51.45756355	-0.948246056
E14000890	51.45462264	-1.042500274
E14000891	54.58540384	-1.108849732
E14000892	52.24139496	-1.984145534
E14000893	51.25694851	-0.191846457
S14000021	55.75243587	-4.357776957
W07000052	51.65167013	-3.48688359
E14000894	53.89349542	-2.458733174
E14000895	54.36546866	-1.726329966
E14000896	51.44623798	-0.277739508
E14000897	53.63171283	-2.107331098
E14000898	51.430233	0.545335492
E14000899	51.57106531	0.798719385
E14000900	51.59081386	0.182126954
E14000901	51.07139695	-1.498529711
S14000055	57.26843151	-5.336303917
E14000902	53.68102519	-2.343565984
E14000903	53.37271145	-1.238201263
E14000904	53.43088702	-1.367241891
E14000905	52.42304861	-1.333180941
E14000906	51.59278392	-0.436706902
E14000907	51.38708243	-0.524950161
E14000908	52.87786826	-1.08114607
S14000056	55.7954323	-4.12886506
E14000909	52.70502189	-0.790742192
E14000910	51.90227633	0.313007117
E14000960	51.73122109	-0.338483604
E14000961	50.37243261	-4.873096564
E14000962	53.4789434	-2.71648086
E14000963	53.42266912	-2.742548254
E14000964	50.1048442	-5.404061545
E14000911	53.49833841	-2.311644886
E14000912	51.08966435	-1.813296185
E14000913	54.38413972	-0.67036945
E14000914	53.52770852	-0.587381452
E14000915	54.61159983	-1.508170324
E14000916	53.52419373	-3.005267347
E14000917	53.84025563	-1.197570443
E14000918	51.30958235	0.183314708
E14000921	53.41494276	-1.466061102
E14000919	53.3755438	-1.473039563
E14000922	53.38021855	-1.588571852
E14000923	53.34499138	-1.456969774
E14000920	53.36298773	-1.384794025
E14000924	53.11663733	-1.079528893
E14000925	53.85006783	-1.822224267
E14000926	52.66857626	-2.778439118
E14000849	52.86595036	-2.769282303
E14000927	51.36050313	0.776250933
E14000928	54.08745912	-1.956690197
E14000929	53.05897267	-0.484850071
E14000930	51.51183026	-0.598501717
E14000931	52.41849153	-1.796355282
E14000850	51.41762356	-2.740146776
E14000846	51.35273449	-2.482828123
E14000932	51.10054628	-2.554091738
E14000939	52.78062904	-0.062597015
E14000943	53.68573376	-2.810028505
E14000944	54.97394241	-1.4125176
E14000955	50.90777228	-1.362020022
E14000956	50.92399682	-1.426242582
E14000957	51.55369669	0.6678595
E14000958	53.6372654	-3.003001644
E14000959	51.42377231	-0.4670798
E14000965	52.76760042	-2.127148468
E14000966	53.0939306	-1.980751489
E14000945	52.57813278	-2.179552735
E14000967	53.47531399	-2.031892513
E14000968	51.88051482	-0.193444832
S14000057	56.24354986	-4.339845036
E14000969	53.40994488	-2.166679363
E14000970	54.59113563	-1.330051223
