id,last_seats,last_votes,ge2010_seats,ge2010_votes
c,303,0,306,0
lab,258,0,258,0
ld,57,0,57,0
dup,8,0,8,0
snp,6,0,6,0
sf,5,0,5,0
pc,3,0,3,0
sdlp,3,0,3,0
ukip,2,0,0,0
alliance,1,0,1,0
green,1,0,1,0
other,3,0,2,0
