ons_id,mysociety_id,mysociety_unit_id
E14000982,65586,25135
E14000983,65747,24981
E14000984,66040,24988
E14000985,65703,24641
W07000048,66091,24879
W07000047,66118,24902
E14000986,65880,24642
E14000987,65964,24615
E14000988,65767,25103
E14000989,65992,36741
E14000990,65976,36743
E14000991,65789,24843
E14000992,65977,24620
E14000993,65686,24860
E14000994,65905,24920
E14000995,65919,25144
E14000996,65761,43526
E14000997,65744,25143
E14000998,65554,25034
E14000999,65692,25213
W07000053,66104,24869
E14001000,65904,25079
E14001001,65810,37540
E14001002,66074,25041
E14001003,65659,44161
E14001004,65660,25160
E14001005,65782,24985
E14001006,65868,25164
N06000017,66140,
E14001007,65613,24936
W07000060,66116,24784
W07000078,66098,24947
E14001008,65825,25036
E14001009,65733,24754
E14001010,65635,24683
E14001011,65890,24640
E14001012,65832,24600
E14001013,65651,43746
E14001014,65631,25191
E14001015,65638,24887
E14001016,66079,24694
E14001017,65874,24651
E14001018,65916,24631
E14001019,65608,24741
E14001020,66049,44158
E14001021,65626,24942
E14001022,66004,25229
E14001023,65961,25133
E14001024,65769,38407
E14001025,65830,24893
E14001026,65560,25052
E14001027,65740,25005
E14001028,65588,24769
S14000058,14455,32848
E14001029,65983,24664
E14001030,66047,24639
E14001031,65716,25169
S14000059,14456,33649
E14001032,66058,25067
E14001033,65873,24718
E14001036,65851,24997
E14001037,65963,24876
E14001038,65742,25017
E14001034,65629,36736
N06000018,66141,
E14001035,65758,24813
E14001039,65612,24740
E14001040,65827,24986
E14001041,65921,25128
E14001042,65552,24958
E14001043,65847,24658
E14001044,65897,24684
E14001045,65831,44168
E14001046,65622,24842
E14001047,66039,25024
E14001048,65774,24933
E14001049,65777,24636
E14001050,65593,24635
E14001051,65948,24637
E14001052,65577,24786
E14001053,65625,24977
E14001054,65757,24714
E14001055,65562,25188
W07000044,66113,24619
E14001056,66010,24891
E14001057,65695,44156
E14001058,66078,24723
E14001059,65669,41613
E14001060,65935,25153
W07000041,66115,24864
E14001061,65965,24833
E14001062,66037,24834
