id	votes	electorate	winner	Lab	C	LD	Green	UKIP	SNP	DUP	SF	PC	Alliance	SDLP	Speaker	ind	BNP	Respect
W07000058	29966	44593	C	7336	10734	5786		632				5341
E14000530	45384	71465	C	5489	21203	15617		2041
E14000531	38634	58909	C	7647	22913	6833	847
E14000532	49393	72208	C	11073	24176	12581		1563
E14000533	45958	70171	C	17210	17746	6636		906
E14000534	55982	76835	C	4835	32333	15642		3172										
E14000536	55185	81271	C	9204	29878	12581	1014	2508
E14000538	53162	77844	C	6695	27736	15118		3613
E14000539	56241	84379	C	10773	29703	11476	959	2806
E14000544	41569	65515	C	9584	21922	6538		1591
E14000933	44735	71874	C	13852	19624	5977		2639
E14000545	50654	75473	C	10327	25590	12414		2076
E14000549	48792	74311	C	17126	23103	7176	559	505
E14000550	52490	74982	C	6135	32053	10271	768	2597
E14000551	47686	66219	C	6893	27597	9813	608	1551
E14000552	45102	68530	C	16193	17546	8957	393	1136
E14000813	54897	76310	C	8108	28815	13663	773	2826
E14000841	55552	78060	C	8957	30989	12047		2294
E14000949	50774	76559	C	9948	26815	10166		2142
E14000556	53199	79318	C	11224	25063	12076	686	1845
E14000557	54587	81032	C	6524	28147	15267
E14000558	43182	65015	C	11450	21794	5502	371	1557
E14000572	40591	66017	C	14814	16964	5400		1659
E14000576	46852	70816	C	6580	24087	11024		3036
E14000582	43125	67186	C	8899	21325	6371		4081
E14000583	54274	77296	C	8674	23132	18100		1098
E14000584	44024	71125	C	5836	21320	13592		3027
E14000585	41659	71753	C	6171	18808	13225		2999
E14000586	52136	76888	C	8755	27327	11623	821	2297
E14000590	49203	71163	C	9780	25901	9247	718	2477
E14000593	53765	83546	C	18064	20022	12718	787	863
E14000594	50592	69309	C	4992	28793	11872	584	2037
E14000595	54493	82180	C	9332	24675	15426	859	2604
E14000596	43874	67345	C	14533	19680	6414		1749
E14000597	42705	66015	C	14889	16217	7691	2330	1384
E14000600	50336	73469	C	13059	19115	15841	511	1175
E14000603	52676	72445	C	7287	24338	17046	752	2382
E14000604	44037	65427	C	7295	23569	9669	607	1451
E14000605	51630	73036	C	11250	22558	10124		2950
E14000606	45658	71391	C	8040	26844	6107		1890
E14000607	52727	72042	C	20196	20585	8907	423	1194
E14000610	49823	74874	C	15884	22188	7891		1451
E14000611	44961	66759	C	15827	18070	7645		1282
E14000613	58718	84716	C	9776	27899	15519	2521	3003
E14000614	51780	76903	C	13966	20397	13037	858	1173
E14000616	42493	63975	C	6945	15969	15903	581	2152
E14000842	52064	73224	C	9274	26862	10437		2791
E14000855	58283	88851	C	9877	29425	12748		4826
E14000934	59056	78995	C	6024	27995	20157	1039	1873
E14000937	57602	83068	C	4380	27629	21683	766	2138
E14000618	45559	74508	C	15076	18271	7732		1580
E14000619	49209	74121	C	7940	22050	16002	1137	1907
W07000051	47630	65553	C	17666	17860	8724	362	1130				1588
E14000620	42200	65263	C	15736	16589	6567	614	969
W07000066	40507	58108	C	13226	16649	4890		1146				4232
E14000622	45026	67284	C	6609	19806	4232
E14000625	53542	74473	C	10536	26560	11531		1799
E14000626	43807	67964	C	14161	20230	5832	396	1314
E14000628	54593	77525	C	5980	25207	20097	476	1527
E14000629	39856	66257	C	7371	24093	6473	671	478
E14000631	52444	70333	C	2942	31658	14948	767	2129
E14000640	46790	70131	C	16412	18995	8930	535	1225
E14000633	56787	81576	C	5937	31427	15550		3873
E14000634	43106	64831	C	9780	22743	7242	650	1133
E14000636	50608	75120	C	12773	24700	10202	1021	1442
E14000638	49416	68859	C	4849	27888	12478		4201
E14000639	36931	66849	C	8188	19264	7574	778	664
E14000643	44966	70214	C	14641	18939	8192		3194
W07000059	38111	57913	C	9414	15833	5801		864				5864
E14000645	55296	80060	C	14589	20440	15603	867	1163
E14000646	50780	72280	C	8747	23250	16187		2147
E14000938	49617	71373	C	3507	22390	19170	826	3083
E14000991	54832	76729	C	5886	29075	16211	940	2292
E14000652	47504	72781	C	15336	21264	6844	598	1382
E14000653	51084	79728	C	17374	23420	7656		1414
E14000654	49667	76349	C	16688	19567	6553	581	997
E14000656	56322	81303	C	11287	28684	12866	981	2504
E14000659	50080	76271	C	13800	24428	7361		1842
E14000660	51774	71452	C	8168	29252	10064	770	2333
E14000664	46780	63376	C	9061	24378	10512	772	1779
E14000814	47342	66074	C	11585	22877	9711		1252
E14000935	50419	70608	C	15807	22935	8012		1206
E14000665	46340	67379	C	4711	25519	12514	813	2076
E14000623	53873	71203	C	3715	27737	18507	1044	2870
E14000678	53092	73109	C	5721	25662	16548	815	4346
E14000950	49860	70813	C	6193	27908	12034	641	3084
E14001000	55257	77360	C	2917	25230	22273	1050	3021
E14000666	54008	78910	C	17372	18898	9150	849
E14000839	54141	73741	C	2910	27640	20015	546	2812
E14000936	50310	73360	C	15224	22667	9557	595	2034
E14001031	57337	76869	C	3815	27287	23364	675	2196
E14000670	50385	71833	C	16900	22174	7962		1747
E14000672	38165	60572	C	12594	16450	5989		3132
S14000014	45892	66627	C	13263	17457	9080	510	637	4945
E14000674	47200	70251	C	14228	17944	13041	737	765
E14000686	45414	72100	C	9794	23472	10217		1931
E14000689	55789	77724	C	19257	23778	9109		1593
E14000691	44453	66261	C	17112	18804	5403	489	938
E14000692	44352	64139	C	14302	21928	6124	632	505
E14000693	46584	72186	C	6641	25148	10017	659	1852
E14000694	54955	79908	C	6538	30868	14734		2549
E14000695	47642	69655	C	16304	18805	8343	534	855
E14000697	54543	75338	C	5829	32134	13541		1783
E14000699	54345	75915	C	7719	30037	12945	791	2235
E14000700	46712	68858	C	7748	26250	9162	890	1722
E14000702	48301	69003	C	12772	19686	12197	441	1506
E14000703	47157	70722	C	15879	21688	8036	737	817
E14000704	52800	78005	C	5719	26109	15987	637	2439
E14000705	48763	68419	C	11789	22853	10676	923	2522
E14000706	43690	65926	C	8624	22826	9641	654	1945
E14000707	49251	72939	C	7701	24266	13707		2065
E14000711	46786	70814	C	12944	21624	8484	356	1515
E14000712	50764	79321	C	17847	20267	9767	511	1808
E14000713	46939	72816	C	7944	24300	9887	573	1496
E14000714	52799	78008	C	9503	26552	11726		1604
E14000715	47303	70195	C	13644	22956	6293	675	2265
E14000717	43057	70315	C	14295	18571	6188	416	2066
E14000719	55567	77082	C	2812	29618	21836		1021
E14000722	43979	63693	C	16092	18115	6515		2824
E14000724	48737	70254	C	7630	24486	12884	669
E14000680	51317	72262	C	4043	29137	15640		1477
E14000844	52939	72196	C	5173	32075	13478		2213
E14000857	53292	76695	C	6980	31072	12489		2751
E14000728	54945	77917	C	6981	26894	17097		1462
E14000729	43878	67583	C	14766	19691	5990		1591
E14000730	53134	74760	C	3413	24305	23266		1056
E14000731	48006	70510	C	18032	21435	6850	793	896
E14000734	49000	70743	C	9774	23001	11554	909	2527
E14000735	49814	77030	C	18475	20468	7825		1397
E14000736	43903	69662	C	7777	22433	10273		2611
E14000739	49471	72752	C	10295	24721	11315		1254
E14000741	46374	72943	C	19529	19635	5734	518	958
E14000742	53520	73123	C	5835	30054	13466	1328	1817
E14000743	48381	72021	C	3506	22366	19885		1638
E14000847	47568	66946	C	3373	24631	14744	1533	2701
E14000744	55377	78459	C	7620	29810	14373		1716
E14000845	50425	72200	C	8291	26995	11801	875	2075
E14000951	56750	78248	C	6526	30773	15853		1450
E14000745	47270	73057	C	8871	26476	8210	604	1712
E14000746	43483	60360	C	8253	18795	13007
E14000748	50337	71458	C	15910	20587	10993	922	1690
E14000749	54707	73851	C	7413	29869	14598	807	1663
E14000751	53390	78547	C	11098	27469	7426	542	2848
E14000753	55841	77564	C	4189	29447	17987	570	2839
